Sample,Sample Name,Extracted_by_BJP,Extraction_1_RIN,Extraction_1_Concentration,Extraction_2_1_RIN,Extraction_2_1_Concentration,Extraction_2_2_RIN,Extraction_2_2_Concentration,Max_RIN,Max_concentration,Extraction_batch,,,,,,,,,,,,,,,,,
389,Rogger,0,2.8,139,NA,NA,1,1.1,2.8,,2,,,,,,,,,,,,,,,,,
676,Callie,0,3.2,115,NA,NA,NA,NA,3.2,,2,,,,,,,,,,,,,,,,,
724,Kerri,0,5.1,35,NA,NA,7.3,1.2,7.3,,4,,,,,,,,,,,,,,,,,
529,Justin,0,1,16,NA,NA,5.7,1.3,5.7,,4,,,,,,,,,,,,,,,,,
4X0212,NA,0,3.1,147,NA,NA,NA,NA,3.1,,2,,,,,,,,,,,,,,,,,
4X0333,NA,0,4.2,243,NA,NA,NA,NA,4.2,,2,,,,,,,,,,,,,,,,,
4X0550,NA,0,4,241,5.6,,NA,NA,5.6,,3,,,,,,,,,,,,,,,,,
537,Socrates,0,NA,NA,NA,NA,6.5,1.2,6.5,,4,,,,,,,,,,,,,,,,,
Little_R,Little_Rock,0,2.4,142,2.9,1.7,NA,NA,2.9,,3,,,,,,,,,,,,,,,,,
4x0095,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
503,Carmichael,0,3,18,NA,NA,NA,NA,3,,2,,,,,,,,,,,,,,,,,
554,Anja,0,3.6,156,NA,NA,NA,NA,3.6,,2,,,,,,,,,,,,,,,,,
4X0354,NA,0,3.3,121,NA,NA,1,1.3,3.3,,2,,,,,,,,,,,,,,,,,
4X0267,NA,0,3,34,NA,NA,NA,NA,3,,2,,,,,,,,,,,,,,,,,
4X0339,NA,0,2.6,258,8.4,3.3,NA,NA,8.4,,3,,,,,,,,,,,,,,,,,
4X0357,NA,0,2.6,245,NA,NA,NA,NA,2.6,,2,,,,,,,,,,,,,,,,,
558,Cynthia,0,NA,NA,1,1.8,1,2,1,,3,,,,,,,,,,,,,,,,,
495,Amos,0,2.6,17.3,1,,2.1,,2.6,,2,,,,,,,,,,,,,,,,,
554,Anja_2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,
338,Maxine,1,,,,,,,7.2,,1,,,,,,,,,,,,,,,,,
317,Iyk,1,,,,,,,7.6,,1,,,,,,,,,,,,,,,,,
295,Duncan,1,,,,,,,7.3,,1,,,,,,,,,,,,,,,,,
522,Peony,1,,,,,,,6.2,,1,,,,,,,,,,,,,,,,,
4x0519,NA,1,,,,,,,7.5,,1,,,,,,,,,,,,,,,,,
570,Waga,1,,,,,,,7.1,,1,,,,,,,,,,,,,,,,,
95A014,NA,1,,,,,,,5.5,,1,,,,,,,,,,,,,,,,,
4x0430,NA,1,,,,,,,6.3,,1,,,,,,,,,,,,,,,,,
623,Joelson,1,,,,,,,6.9,,1,,,,,,,,,,,,,,,,,
476,Lulu,1,,,,,,,6.9,,1,,,,,,,,,,,,,,,,,
MD_And,NA,1,,,,,,,4.6,,1,,,,,,,,,,,,,,,,,
88A020,NA,1,,,,,,,7,,1,,,,,,,,,,,,,,,,,
549,Jarred,1,,,,,,,6.1,,1,,,,,,,,,,,,,,,,,
4x523,NA,1,,,,,,,5.6,,1,,,,,,,,,,,,,,,,,
4x373,Ursula,1,,,,,,,6,,1,,,,,,,,,,,,,,,,,
4x0025,NA,1,,,,,,,5.5,,1,,,,,,,,,,,,,,,,,
4x0043,NA,1,,,,,,,4.2,,1,,,,,,,,,,,,,,,,,
438,Cheeta,1,,,,,,,5.6,,1,,,,,,,,,,,,,,,,,
456,Mai,1,,,,,,,5.5,,1,,,,,,,,,,,,,,,,,
462,Barbara,1,,,,,,,6.5,,1,,,,,,,,,,,,,,,,,